iso3c,term_start
CZE,2006-06-03
CZE,2010-05-29
CZE,2013-10-26
CZE,2017-10-21
CZE,2021-10-09
DEU,1949-08-14
DEU,1953-09-06
DEU,1957-09-15
DEU,1961-09-17
DEU,1965-09-19
DEU,1969-09-28
DEU,1972-11-19
DEU,1976-10-03
DEU,1980-10-05
DEU,1983-03-06
DEU,1987-01-25
DEU,1990-12-02
DEU,1994-10-16
DEU,1998-09-27
DEU,2002-09-22
DEU,2005-09-18
DEU,2009-09-27
DEU,2013-09-22
DEU,2017-09-24
DEU,2021-09-26
DNK,1945-10-30
DNK,1947-10-28
DNK,1950-09-05
DNK,1953-04-21
DNK,1953-09-22
DNK,1957-05-14
DNK,1960-11-15
DNK,1964-09-22
DNK,1966-11-22
DNK,1968-01-23
DNK,1971-09-21
DNK,1973-12-04
DNK,1975-01-09
DNK,1977-02-15
DNK,1979-10-23
DNK,1981-12-08
DNK,1984-01-10
DNK,1987-09-08
DNK,1988-05-10
DNK,1990-12-12
DNK,1994-09-21
DNK,1998-03-11
DNK,2001-11-20
DNK,2005-02-08
DNK,2007-11-13
DNK,2011-09-15
DNK,2015-06-18
DNK,2019-06-05
DNK,2022-11-01
DOM,1990-05-16
DOM,1994-05-16
DOM,1998-05-16
DOM,2002-05-16
DOM,2006-05-16
DOM,2010-05-16
DOM,2016-05-15
DOM,2020-07-05
EST,1992-09-20
EST,1995-03-05
EST,1999-03-07
EST,2003-03-02
EST,2007-03-04
EST,2011-03-06
EST,2015-03-01
EST,2019-03-03
EST,2023-03-05
ESP,1977-06-15
ESP,1979-03-01
ESP,1982-10-28
ESP,1986-06-22
ESP,1989-10-29
ESP,1993-06-06
ESP,1996-03-03
ESP,2000-03-12
ESP,2004-03-14
ESP,2008-03-09
ESP,2011-11-20
ESP,2015-12-20
ESP,2016-06-26
ESP,2019-04-28
ESP,2019-11-10
ESP,2023-07-23
FIN,1945-03-18
FIN,1948-07-02
FIN,1951-07-03
FIN,1954-03-08
FIN,1958-07-07
FIN,1962-02-05
FIN,1966-03-21
FIN,1970-03-16
FIN,1972-01-03
FIN,1975-09-22
FIN,1979-03-13
FIN,1983-03-21
FIN,1987-03-16
FIN,1991-03-17
FIN,1995-03-19
FIN,1999-03-21
FIN,2003-03-16
FIN,2007-03-18
FIN,2011-04-17
FIN,2015-04-19
FIN,2019-04-14
FIN,2023-04-02
FRA,1945-10-21
FRA,1946-06-02
FRA,1946-11-10
FRA,1951-06-17
FRA,1956-01-02
FRA,1958-11-23
FRA,1962-11-18
FRA,1967-03-05
FRA,1968-06-23
FRA,1973-03-04
FRA,1978-03-12
FRA,1981-06-14
FRA,1986-03-16
FRA,1988-06-05
FRA,1993-03-21
FRA,1997-05-25
FRA,2002-06-09
FRA,2007-06-10
FRA,2012-06-10
FRA,2017-06-11
FRA,2022-06-12
GBR,1945-07-05
GBR,1950-02-23
GBR,1951-10-25
GBR,1955-05-26
GBR,1959-10-08
GBR,1964-10-15
GBR,1966-03-31
GBR,1970-06-18
GBR,1974-02-28
GBR,1974-10-10
GBR,1979-05-03
GBR,1983-06-09
GBR,1987-06-11
GBR,1992-04-09
GBR,1997-05-01
GBR,2001-06-07
GBR,2005-05-05
GBR,2010-05-06
GBR,2015-05-07
GBR,2017-06-08
GBR,2019-12-12
GEO,1992-10-11
GEO,1995-11-05
GEO,1999-10-31
GEO,2003-11-02
GEO,2004-03-28
GEO,2008-05-21
GEO,2012-10-01
GEO,2016-10-08
GEO,2020-10-31
GHA,1992-12-29
GHA,1996-12-07
GHA,2000-12-07
GHA,2004-12-07
GHA,2008-12-07
GHA,2012-12-07
GHA,2016-12-07
GHA,2020-12-07
GRC,1974-11-17
GRC,1977-11-20
GRC,1981-10-18
GRC,1985-06-02
GRC,1989-06-18
GRC,1989-11-05
GRC,1990-04-08
GRC,1993-10-10
GRC,1996-09-22
GRC,2000-04-09
GRC,2004-03-07
GRC,2007-09-16
GRC,2009-10-04
GRC,2012-05-06
GRC,2012-06-17
GRC,2015-01-25
GRC,2015-09-20
GRC,2019-07-07
GRC,2023-05-21
GRC,2023-06-25
GTM,1985-11-03
GTM,1990-11-16
GTM,1994-08-14
GTM,1995-11-12
GTM,1999-11-07
GTM,2003-11-09
GTM,2007-09-09
GTM,2011-09-11
GTM,2015-09-06
GTM,2019-06-16
GTM,2023-06-25
HND,1981-11-29
HND,1985-11-24
HND,1989-11-26
HND,1993-11-27
HND,1997-11-30
HND,2001-01-25
HND,2005-11-27
HND,2009-11-29
HND,2013-11-24
HND,2017-11-26
HND,2021-11-28
HRV,1990-04-22
HRV,1992-08-02
HRV,1995-10-29
HRV,2000-01-03
HRV,2003-11-23
HRV,2007-11-25
HRV,2011-12-04
HRV,2015-11-08
HRV,2016-09-11
HRV,2020-07-05
HUN,1990-03-25
HUN,1994-05-08
HUN,1998-05-10
HUN,2002-04-07
HUN,2006-04-09
HUN,2010-04-11
HUN,2014-04-06
HUN,2018-04-08
HUN,2022-04-03
IRL,1944-05-30
IRL,1948-02-04
IRL,1951-05-30
IRL,1954-05-18
IRL,1957-03-05
IRL,1961-10-04
IRL,1965-04-07
IRL,1969-06-16
IRL,1973-02-28
IRL,1977-06-16
IRL,1981-06-11
IRL,1982-02-18
IRL,1982-11-24
IRL,1987-02-17
IRL,1989-06-15
IRL,1992-11-25
IRL,1997-06-06
IRL,2002-05-17
IRL,2007-05-24
IRL,2011-02-25
IRL,2016-02-26
IRL,2020-02-08
ISR,1949-01-25
ISR,1951-07-30
ISR,1955-07-26
ISR,1959-11-03
ISR,1961-08-15
ISR,1965-11-02
ISR,1969-10-28
ISR,1973-12-31
ISR,1977-05-17
ISR,1981-06-30
ISR,1984-07-23
ISR,1988-11-01
ISR,1992-06-23
ISR,1996-05-29
ISR,1999-05-17
ISR,2003-01-28
ISR,2006-03-28
ISR,2009-02-10
ISR,2013-01-22
ISR,2015-03-17
ISR,2019-04-09
ISR,2019-09-17
ISR,2020-03-02
ISR,2021-03-23
ISR,2022-11-01
IND,1951-10-25
IND,1957-02-24
IND,1962-02-16
IND,1967-02-15
IND,1971-03-01
IND,1977-03-16
IND,1980-01-03
IND,1984-12-24
IND,1989-11-22
IND,1991-05-20
IND,1996-04-27
IND,1998-02-16
IND,1999-09-05
IND,2004-04-20
IND,2009-04-16
IND,2014-04-07
IND,2019-05-19
ISL,1942-10-18
ISL,1946-06-30
ISL,1949-10-23
ISL,1953-06-28
ISL,1956-06-24
ISL,1959-06-28
ISL,1959-10-25
ISL,1963-06-09
ISL,1967-06-11
ISL,1971-06-13
ISL,1974-06-30
ISL,1978-06-25
ISL,1979-12-02
ISL,1983-04-23
ISL,1987-04-25
ISL,1991-04-20
ISL,1995-04-08
ISL,1999-05-08
ISL,2003-05-10
ISL,2007-05-12
ISL,2009-04-25
ISL,2013-04-27
ISL,2016-10-29
ISL,2017-10-28
ISL,2021-09-25
ITA,1946-06-02
ITA,1948-04-18
ITA,1953-06-07
ITA,1958-05-25
ITA,1963-04-28
ITA,1968-05-19
ITA,1972-05-07
ITA,1976-06-20
ITA,1979-06-03
ITA,1983-06-26
ITA,1987-06-14
ITA,1992-04-06
ITA,1994-03-28
ITA,1996-04-21
ITA,2001-05-13
ITA,2006-04-10
ITA,2008-04-13
ITA,2013-02-24
ITA,2018-03-04
ITA,2022-09-25
JAM,1989-02-09
JAM,1993-03-30
JAM,1997-12-18
JAM,2002-10-16
JAM,2007-09-03
JAM,2011-12-29
JAM,2016-02-25
JAM,2020-09-03
JPN,1946-04-10
JPN,1947-04-25
JPN,1949-01-23
JPN,1952-10-01
JPN,1953-04-19
JPN,1955-02-27
JPN,1958-05-22
JPN,1960-11-20
JPN,1963-11-21
JPN,1967-01-29
JPN,1969-12-27
JPN,1972-12-10
JPN,1976-12-05
JPN,1979-10-07
JPN,1980-06-22
JPN,1983-12-18
JPN,1986-07-06
JPN,1990-02-18
JPN,1993-07-18
JPN,1996-10-20
JPN,2000-06-25
JPN,2003-11-09
JPN,2005-09-11
JPN,2009-08-30
JPN,2012-12-16
JPN,2014-12-14
JPN,2017-10-22
JPN,2021-10-31
KOR,1988-04-26
KOR,1992-03-24
KOR,1996-04-11
KOR,2000-04-13
KOR,2004-04-15
KOR,2008-04-09
KOR,2012-04-11
KOR,2016-04-13
KOR,2020-04-15
LTU,1992-10-25
LTU,1996-10-20
LTU,2000-10-08
LTU,2004-10-10
LTU,2008-10-12
LTU,2012-10-14
LTU,2016-10-09
LTU,2020-10-11
LUX,1945-10-21
LUX,1948-06-06
LUX,1951-06-03
LUX,1954-05-30
LUX,1959-02-01
LUX,1964-06-07
LUX,1968-12-15
LUX,1974-05-26
LUX,1979-06-10
LUX,1984-06-17
LUX,1989-06-18
LUX,1994-06-12
LUX,1999-06-13
LUX,2004-06-13
LUX,2009-06-07
LUX,2013-10-20
LUX,2018-10-14
LUX,2023-10-08
LVA,1993-06-05
LVA,1995-09-30
LVA,1998-10-03
LVA,2002-10-05
LVA,2006-10-07
LVA,2010-10-02
LVA,2011-09-17
LVA,2014-10-04
LVA,2018-10-06
LVA,2022-10-01
MDA,1994-02-27
MDA,1998-03-22
MDA,2001-02-25
MDA,2005-03-06
MDA,2009-04-05
MDA,2009-07-29
MDA,2010-11-28
MDA,2014-11-30
MDA,2019-02-24
MDA,2021-07-11
MNE,1990-12-09
MNE,1992-12-20
MNE,1996-11-03
MNE,1998-05-31
MNE,2001-04-22
MNE,2002-10-20
MNE,2006-09-10
MNE,2009-03-29
MNE,2012-10-14
MNE,2016-10-16
MNE,2020-08-30
MNE,2023-06-11
MKD,1994-10-16
MKD,1998-10-18
MKD,2002-09-15
MKD,2006-07-05
MKD,2008-06-01
MKD,2011-06-05
MKD,2014-04-27
MKD,2016-12-11
MKD,2020-07-15
MLT,1945-11-12
MLT,1947-10-27
MLT,1950-09-04
MLT,1951-05-07
MLT,1953-12-14
MLT,1955-02-28
MLT,1962-02-19
MLT,1966-03-28
MLT,1971-06-14
MLT,1976-09-18
MLT,1981-12-12
MLT,1987-05-05
MLT,1992-02-22
MLT,1996-10-26
MLT,1998-09-05
MLT,2003-04-12
MLT,2008-03-08
MLT,2013-03-09
MLT,2017-06-03
MLT,2022-03-26
MUS,1987-08-30
MUS,1991-09-15
MUS,1995-12-20
MUS,2000-09-11
MUS,2005-07-03
MUS,2010-05-05
MUS,2014-12-10
MUS,2019-11-07
MEX,1946-07-07
MEX,1949-07-03
MEX,1952-07-06
MEX,1955-07-04
MEX,1958-07-06
MEX,1961-07-02
MEX,1964-07-05
MEX,1967-07-02
MEX,1970-07-05
MEX,1973-07-01
MEX,1976-07-04
MEX,1979-07-01
MEX,1982-07-04
MEX,1985-07-07
MEX,1988-07-06
MEX,1991-08-18
MEX,1994-08-21
MEX,1997-07-06
MEX,2000-07-02
MEX,2003-06-06
MEX,2006-07-02
MEX,2009-07-05
MEX,2012-07-01
MEX,2015-06-07
MEX,2018-07-01
MEX,2021-06-06
NIC,1990-02-25
NIC,1996-10-20
NIC,2001-11-04
NIC,2006-11-05
NIC,2011-11-06
NIC,2016-11-06
NIC,2021-11-07
NLD,1946-05-17
NLD,1948-07-07
NLD,1952-06-25
NLD,1956-06-13
NLD,1959-03-12
NLD,1963-05-15
NLD,1967-02-15
NLD,1971-04-28
NLD,1972-11-29
NLD,1977-05-25
NLD,1981-05-26
NLD,1982-09-08
NLD,1986-05-21
NLD,1989-09-06
NLD,1994-05-03
NLD,1998-05-06
NLD,2002-05-15
NLD,2003-01-22
NLD,2006-11-22
NLD,2010-06-09
NLD,2012-09-12
NLD,2017-03-15
NLD,2021-03-17
NLD,2023-11-22
NOR,1945-10-08
NOR,1949-10-10
NOR,1953-10-12
NOR,1957-10-07
NOR,1961-09-11
NOR,1965-09-12
NOR,1969-09-07
NOR,1973-09-09
NOR,1977-09-11
NOR,1981-09-14
NOR,1985-09-08
NOR,1989-09-11
NOR,1993-09-13
NOR,1997-09-16
NOR,2001-09-10
NOR,2005-09-12
NOR,2009-09-14
NOR,2013-09-09
NOR,2017-09-11
NOR,2021-09-13
NZL,1943-09-25
NZL,1946-11-27
NZL,1949-11-30
NZL,1951-09-01
NZL,1954-11-13
NZL,1957-11-30
NZL,1960-11-26
NZL,1963-11-30
NZL,1966-11-26
NZL,1969-11-29
NZL,1972-11-25
NZL,1975-11-29
NZL,1978-11-25
NZL,1981-11-28
NZL,1984-07-14
NZL,1987-08-15
NZL,1990-10-27
NZL,1993-11-06
NZL,1996-10-12
NZL,1999-11-27
NZL,2002-07-27
NZL,2005-09-17
NZL,2008-11-08
NZL,2011-11-26
NZL,2014-09-20
NZL,2017-09-23
NZL,2020-10-17
NZL,2023-10-14
PAN,1994-05-08
PAN,1999-05-02
PAN,2004-05-02
PAN,2009-05-03
PAN,2014-05-04
PAN,2019-05-05
PER,1980-05-18
PER,1985-04-14
PER,1990-04-08
PER,1992-11-22
PER,1995-04-09
PER,2000-04-09
PER,2001-04-08
PER,2006-04-09
PER,2011-04-10
PER,2016-04-10
PER,2020-01-26
PER,2021-04-11
POL,1991-10-27
POL,1993-09-19
POL,1997-09-21
POL,2001-09-23
POL,2005-09-25
POL,2007-10-21
POL,2011-10-09
POL,2015-10-25
POL,2019-10-13
POL,2023-10-15
PRT,1975-04-25
PRT,1976-04-25
PRT,1979-12-02
PRT,1980-10-05
PRT,1983-04-25
PRT,1985-10-06
PRT,1987-07-19
PRT,1991-10-06
PRT,1995-10-01
PRT,1999-10-10
PRT,2002-03-17
PRT,2005-02-20
PRT,2009-09-27
PRT,2011-06-05
PRT,2015-10-04
PRT,2019-10-06
PRT,2022-01-30
PRY,1989-05-01
PRY,1993-05-09
PRY,1998-05-10
PRY,2003-04-27
PRY,2008-04-20
PRY,2013-04-21
PRY,2018-04-22
PRY,2023-04-30
ROU,1990-05-20
ROU,1992-09-27
ROU,1996-11-03
ROU,2000-11-26
ROU,2004-11-28
ROU,2008-11-30
ROU,2012-12-09
ROU,2016-12-11
ROU,2020-12-06
SRB,1990-12-09
SRB,1992-12-20
SRB,1993-12-19
SRB,1997-09-21
SRB,2000-12-23
SRB,2003-12-28
SRB,2007-01-21
SRB,2008-05-11
SRB,2012-05-06
SRB,2014-03-16
SRB,2016-04-24
SRB,2020-06-21
SRB,2022-04-03
SRB,2023-12-17
RUS,1993-12-12
RUS,1995-12-17
RUS,1999-12-19
RUS,2003-12-07
RUS,2007-12-02
RUS,2011-12-04
RUS,2016-09-18
RUS,2021-09-19
SWE,1944-09-17
SWE,1948-09-19
SWE,1952-09-21
SWE,1956-09-26
SWE,1958-06-01
SWE,1960-09-18
SWE,1964-09-20
SWE,1968-09-15
SWE,1970-09-20
SWE,1973-09-16
SWE,1976-09-19
SWE,1979-09-16
SWE,1982-09-19
SWE,1985-09-15
SWE,1988-09-18
SWE,1991-09-15
SWE,1994-09-18
SWE,1998-09-21
SWE,2002-09-15
SWE,2006-09-17
SWE,2010-09-19
SWE,2014-09-14
SWE,2018-09-09
SWE,2022-09-11
SVN,1990-04-08
SVN,1992-12-06
SVN,1996-11-10
SVN,2000-10-15
SVN,2004-10-03
SVN,2008-09-21
SVN,2011-12-04
SVN,2014-07-13
SVN,2018-06-03
SVN,2022-04-24
SVK,1990-06-09
SVK,1992-06-06
SVK,1994-09-30
SVK,1998-09-26
SVK,2002-09-20
SVK,2006-06-17
SVK,2010-06-12
SVK,2012-03-10
SVK,2016-03-05
SVK,2020-02-29
SVK,2023-09-30
SLV,1988-03-20
SLV,1991-03-10
SLV,1994-03-20
SLV,1997-03-16
SLV,2000-03-12
SLV,2003-03-16
SLV,2006-03-12
SLV,2009-01-18
SLV,2012-03-11
SLV,2015-03-01
SLV,2018-03-04
SLV,2021-02-28
TUR,1950-05-14
TUR,1954-05-02
TUR,1957-10-27
TUR,1961-10-15
TUR,1965-10-10
TUR,1969-10-12
TUR,1973-10-14
TUR,1977-06-05
TUR,1983-11-06
TUR,1987-11-29
TUR,1991-10-20
TUR,1995-12-24
TUR,1999-04-18
TUR,2002-11-03
TUR,2007-07-22
TUR,2011-06-12
TUR,2015-06-07
TUR,2015-11-01
TUR,2018-06-24
TUR,2023-05-14
TTO,1986-12-15
TTO,1991-12-16
TTO,1995-11-06
TTO,2000-12-11
TTO,2001-12-10
TTO,2002-10-07
TTO,2007-11-05
TTO,2010-05-24
TTO,2015-09-07
TTO,2020-08-10
UKR,1994-04-10
UKR,1998-03-29
UKR,2002-03-31
UKR,2006-03-26
UKR,2007-09-30
UKR,2012-10-28
UKR,2014-10-26
UKR,2019-07-21
USA,1948-11-02
USA,1950-11-07
USA,1952-11-04
USA,1954-11-02
USA,1956-11-06
USA,1958-11-04
USA,1960-11-08
USA,1962-11-06
USA,1964-11-03
USA,1966-11-08
USA,1968-11-05
USA,1970-11-03
USA,1972-11-07
USA,1974-11-05
USA,1976-11-02
USA,1978-11-07
USA,1980-11-04
USA,1982-11-02
USA,1984-11-06
USA,1986-11-04
USA,1988-11-08
USA,1990-11-06
USA,1992-11-03
USA,1994-11-08
USA,1996-11-05
USA,1998-11-03
USA,2000-11-07
USA,2002-11-05
USA,2004-11-02
USA,2006-11-07
USA,2008-11-04
USA,2010-11-02
USA,2012-11-06
USA,2014-11-04
USA,2016-11-08
USA,2018-11-06
USA,2020-11-03
USA,2022-11-08
URY,1989-11-26
URY,1994-11-27
URY,1999-10-31
URY,2004-10-31
URY,2009-10-25
URY,2014-10-26
URY,2019-10-27
VEN,1988-12-04
VEN,1993-12-05
VEN,1998-11-08
VEN,2000-07-30
VEN,2005-12-04
VEN,2010-09-26
VEN,2015-12-06
ZAF,1994-04-29
ZAF,1999-06-02
ZAF,2004-04-14
ZAF,2009-04-22
ZAF,2014-05-07
ZAF,2019-05-08
