iso3c,term_start
GTM,1996-01-14
GTM,2000-01-14
GTM,2004-01-14
GTM,2008-01-14
GTM,2012-01-14
GTM,2016-01-14
GTM,2020-01-14
GTM,2024-01-14
HND,1982-01-27
HND,1986-01-27
HND,1990-01-27
HND,1994-01-27
HND,1998-01-27
HND,2002-01-27
HND,2006-01-27
HND,2009-06-28
HND,2010-01-27
HND,2014-01-27
HND,2018-01-27
HND,2022-01-27
HRV,1992-08-12
HRV,1997-08-05
HRV,2000-02-18
HRV,2005-02-18
HRV,2010-02-18
HRV,2015-02-15
HRV,2020-02-19
IRL,1945-06-25
IRL,1952-06-25
IRL,1959-06-25
IRL,1966-06-25
IRL,1973-06-25
IRL,1974-12-19
IRL,1976-12-03
IRL,1983-12-03
IRL,1990-12-03
IRL,1997-11-11
IRL,2004-11-11
IRL,2011-11-11
IRL,2018-11-11
ISL,1945-08-01
ISL,1949-07-01
ISL,1952-08-01
ISL,1956-08-01
ISL,1960-08-01
ISL,1964-05-23
ISL,1968-08-01
ISL,1972-08-01
ISL,1976-08-01
ISL,1980-08-01
ISL,1984-08-01
ISL,1988-08-01
ISL,1992-08-01
ISL,1996-08-01
ISL,2004-08-01
ISL,2008-08-01
ISL,2012-08-01
ISL,2016-08-01
ISL,2020-08-01
KOR,1988-02-25
KOR,1993-02-25
KOR,1998-02-25
KOR,2003-02-25
KOR,2008-02-25
KOR,2013-02-25
KOR,2017-05-09
KOR,2022-05-10
LTU,1993-02-25
LTU,1998-02-04
LTU,2003-02-26
LTU,2004-07-12
LTU,2009-07-12
LTU,2014-07-12
LTU,2019-07-12
MDA,1997-01-15
MDA,2016-12-23
MDA,2020-12-24
MNE,1990-12-23
MNE,1993-01-10
MNE,1998-01-15
MNE,
MNE,2003-05-22
MNE,2008-05-20
MNE,2013-05-20
MNE,2018-05-20
MNE,2023-05-20
MKD,1994-11-19
MKD,1999-11-19
MKD,2004-05-12
MKD,2009-05-12
MKD,2014-05-12
MKD,2019-05-12
MEX,1946-12-01
MEX,1952-12-01
MEX,1958-12-01
MEX,1964-12-01
MEX,1970-12-01
MEX,1976-12-01
MEX,1982-12-01
MEX,1988-12-01
MEX,1994-12-01
MEX,2000-12-01
MEX,2006-12-01
MEX,2012-12-01
MEX,2018-12-01
NIC,1990-04-25
NIC,1997-01-10
NIC,2002-01-10
NIC,2007-01-10
NIC,2012-01-10
NIC,2017-01-10
NIC,2022-01-10
PAN,1994-09-01
PAN,1999-08-01
PAN,2004-09-01
PAN,2009-07-01
PAN,2014-07-01
PAN,2019-07-01
PER,1980-05-18
PER,1985-07-28
PER,1990-07-28
PER,1995-07-28
PER,2000-07-28
PER,2001-07-28
PER,2006-07-28
PER,2011-07-28
PER,2016-07-28
PER,2021-07-28
POL,1990-12-22
POL,1995-12-23
POL,2000-10-08
POL,2005-12-23
POL,2010-08-06
POL,2015-08-06
POL,2020-08-06
PRT,1976-07-14
PRT,1981-01-14
PRT,1986-03-09
PRT,1991-01-13
PRT,1996-03-09
PRT,2001-01-14
PRT,2006-03-09
PRT,2011-03-09
PRT,2016-03-09
PRT,2021-03-09
PRY,1989-05-15
PRY,1993-08-15
PRY,1998-08-15
PRY,2003-08-15
PRY,2008-08-15
PRY,2013-08-15
PRY,2018-08-15
PRY,2023-08-15
ROU,1990-06-20
ROU,1992-10-30
ROU,1996-11-29
ROU,2000-12-21
ROU,2004-12-20
ROU,2009-12-21
ROU,2014-12-21
ROU,2019-12-21
SRB,1989-11-12
SRB,1990-12-09
SRB,1992-12-20
SRB,
SRB,1997-12-29
SRB,2004-07-11
SRB,2008-02-15
SRB,2012-06-11
SRB,2017-05-31
SRB,2022-05-31
RUS,1996-08-09
RUS,2000-05-07
RUS,2004-05-07
RUS,2008-05-07
RUS,2012-05-07
RUS,2018-05-07
SVN,1990-05-10
SVN,1992-12-06
SVN,1997-11-23
SVN,2002-12-22
SVN,2007-12-22
SVN,2012-12-22
SVN,2017-12-22
SVN,2022-12-22
SVK,1999-06-15
SVK,2004-06-15
SVK,2009-06-15
SVK,2014-06-15
SVK,2019-06-15
SLV,1989-06-01
SLV,1994-06-01
SLV,1999-06-01
SLV,2004-06-01
SLV,2009-06-01
SLV,2014-06-01
SLV,2019-06-01
TUR,2014-08-10
TUR,2018-07-09
TUR,2023-06-03
UKR,1994-07-19
UKR,1999-11-30
UKR,2005-01-23
UKR,2010-02-25
UKR,2014-06-07
UKR,2019-05-20
USA,1949-01-20
USA,1953-01-20
USA,1957-01-20
USA,1961-01-20
USA,1965-01-20
USA,1969-01-20
USA,1973-01-20
USA,1977-01-20
USA,1981-01-20
USA,1985-01-20
USA,1989-01-20
USA,1993-01-20
USA,1997-01-20
USA,2001-01-20
USA,2005-01-20
USA,2009-01-20
USA,2013-01-20
USA,2017-01-20
USA,2021-01-20
URY,1990-03-01
URY,1995-03-01
URY,2000-03-01
URY,2005-03-01
URY,2010-03-01
URY,2015-03-01
URY,2020-03-01
VEN,1989-02-02
VEN,1994-02-02
VEN,1999-02-02
VEN,2001-01-10
VEN,2007-01-10
VEN,2013-01-10
VEN,2013-04-19
VEN,2019-01-10
